city,title,price,location,area,building_area,bedrooms,bathrooms,garage
surabaya,18 Juta Per Mtr ! Long Golf View Main Road Citraland Utama,Rp 35 Miliar,"Citraland, Surabaya",: 1898 m²,: 400 m²,5,3,2
malang,166 juta saja RUMAH SUBSIDI WAGIR DEKAT SUKUN,Rp 166 Juta,"Wagir, Malang",: 60 m²,: 25 m²,2,1,
malang,Rumah Baru Di Pandanwangi Sulfat Kec. Blimbing Kota Malang,Rp 699 Juta,"Blimbing, Malang",: 75 m²,: 50 m²,2,1,
malang,Rumah 2 Lantai Harga Murah di Bajang Ratu Dekat Kampus ABM,"Rp 1,5 Miliar","Malang Kota, Malang",: 175 m²,: 175 m²,3,3,1
malang,Rumah Baru Area Buah Buahan Langsep Buah-buahan Malang Kota,"Rp 3,65 Miliar","Buah-buahan, Malang",: 170 m²,: 320 m²,3,2,
malang,"Rumah Murah di Daerah Jabung, Malang",Rp 125 Juta,"Jabung, Malang",: 98 m²,: 98 m²,1,1,
malang,Murah Langka Ready Di Citraland Puncak Tidar Harga Bawah Pasar,"Rp 2,8 MiliarRp 2.9MHEMAT 100 Jutaan","Villa Puncak Tidar, Malang",: 135 m²,: 150 m²,2,3,2
malang,Murah Rumah Luas Tengah Kota Malang Strategis Bisa Untuk Gudang,Rp 4 Miliar,"Klojen, Malang",: 626 m²,: 400 m²,5,6,2
malang,Dijual Rumah Tirtasani Malang Semi Furnished,"Rp 1,35 Miliar","Karangploso, Malang",: 180 m²,: 95 m²,3,2,2
malang,"Beli Villa Gartis Kost dan Rumah, Garansi Passive Income","Rp 1,99 Miliar","Tlogomas, Malang",: 75 m²,: 132 m²,3,2,1
malang,Rumah Siap Huni Dekat Kampus Brawijaya Malang - Lokasi Super Strategis,"Rp 1,3 Miliar","Mojolangu, Malang",: 90 m²,: 90 m²,2,1,
malang,Rumah Dkt Kampus Ub Shm Cluster One Gate Nol Jln Di Lowokwaru,Rp 890 Juta,"Lowokwaru, Malang",: 80 m²,: 180 m²,5,3,1
malang,Rumah 2 Lantai Posisi Hook Siap Huni Di Poros Jalan Lokasi Strategis Di Tengah Kota,"Rp 5,3 Miliar","Malang Kota, Malang",: 190 m²,: 215 m²,4,3,1
malang,Murah Rumah Luas Di Graha Kencana Row Jalan Lebar Siap Huni,"Rp 2,5 Miliar","Blimbing, Malang",: 232 m²,: 190 m²,4,3,1
malang,Murah Mewah Di Perumahan Elite Araya Golf Malang Siap Huni,"Rp 2,8 MiliarRp 2.9MHEMAT 100 Jutaan","Araya, Malang",: 240 m²,: 400 m²,5,4,2
malang,Murah Langka Rumah Vintage Tengah Kota Malang Area Klojen Malang,Rp 23 Miliar,"Malang Kota, Malang",: 1153 m²,: 790 m²,5,3,4
malang,Baru Gress Mewah Minimalis Dekat Suhat Univ Brawijaya Full Furnis,"Rp 3,28 Miliar","Lowokwaru, Malang",: 140 m²,: 144 m²,4,3,1
malang,Murah Langka Tengah Kota Dekat Mog Dan Ijen Boulevard Strategis,Rp 13 Miliar,"Malang Kota, Malang",: 515 m²,: 250 m²,5,2,1
malang,Mewah Semi Furnish 2 Lantai Siap Huni Di Niew Indie Araya Malang,"Rp 4,97 Miliar","Araya, Malang",: 240 m²,: 350 m²,4,4,1
