city,title,price,location,area,building_area,bedrooms,bathrooms,garage
gowa,RUMAH TOKO,"Rp 1,5 Miliar","Pallangga, Gowa",: 182 m²,: 182 m²,3,2,
gowa,Rumah Siap Huni Royal Spring. 3+1 Kamar. Ukuran Tanah 8x18. Harga Murah.,"Rp 1,4 Miliar","Tombolo Pao, Gowa",: 144 m²,: 200 m²,3,2,2
gowa,Rumah Tinggal 1 Lantai,Rp 251 Juta,"Somba Opu, Gowa",: 45 m²,: 72 m²,3,1,1
gowa,Rumah Tinggal 1 Lantai,Rp 538 Juta,"Somba Opu, Gowa",: 112 m²,: 152 m²,5,3,1
gowa,Rumah Tinggal 2 Lantai,Rp 638 Juta,"Somba Opu, Gowa",: 84 m²,: 91 m²,3,1,2
gowa,Rumah Tinggal 1 Lantai,Rp 309 Juta,"Somba Opu, Gowa",: 96 m²,: 63 m²,3,1,1
gowa,Tanjung Alya,Rp 570 Juta,"Barombong, Gowa",: 90 m²,: 90 m²,2,1,
gowa,Rumah Keren Ville Park Barombong Makassar,Rp 496 Juta,"Barombong, Gowa",: 78 m²,: 40 m²,2,1,2
gowa,Rumah Siap Huni Di Kawasan Citraland Celebes,"Rp 2,5 Miliar","Somba Opu, Gowa",: 120 m²,: 185 m²,3,3,2
gowa,Rumah Ready Mappan Residence Makassar,Rp 120 Juta,"Bajeng Barat, Gowa",: 72 m²,: 36 m²,2,1,
gowa,Rumah Dalam Cluster Siap Huni Di Kawasan Citraland Celebes,"Rp 1,65 Miliar","Somba Opu, Gowa",: 105 m²,: 100 m²,2,2,1
gowa,Perumahan Griya Kenari Pattalassang Samping Pusdiklat Gowa,Rp 316 Juta,"Pattalassang, Gowa",: 78 m²,: 41 m²,2,1,1
gowa,Rumah Mewah Di Kawasan Citraland Celebes,"Rp 5,5 Miliar","Somba Opu, Gowa",: 300 m²,: 348 m²,4,3,2
gowa,"Rumah Semi Furnish Termurah di Moden Estate, Hertasning","Rp 1,45 Miliar","Somba Opu, Gowa",: 154 m²,: 140 m²,3,2,2
gowa,Perumahan Namiland Barombong Dekat Makassar,Rp 370 Juta,"Barombong, Gowa",: 78 m²,: 42 m²,2,1,2
gowa,CitraLand Celebes Fasilitas Kolam Renang Pribadi,Rp 3 Miliar,"Somba Opu, Gowa",: 144 m²,: 240 m²,3,3,2
gowa,Rumah Cluster Village Danau Alam Pendidikan Promo Free Biaya Notaris Kpr Free Kanopi Dan Promo Lainnya,Rp 380 Juta,"Somba Opu, Gowa",: 105 m²,: 40 m²,2,1,1
gowa,"Dijual Rumah Gowa sekitar Jalan Poros Bontonompo, Bajeng","Rp 1,08 Miliar","Bajeng, Gowa",: 853 m²,: 853 m²,1,,
gowa,Rumah Siap Huni Di Barombong,Rp 300 Juta,"Barombong, Gowa",: 60 m²,: 60 m²,1,1,
gowa,"Dijual Rumah sekitar Romang Lompoa, Jalan Sultan Alauddin, Jl Macanda, Gowa",Rp 450 Juta,"Bontomarannu, Gowa",: 98 m²,: 98 m²,2,1,
gowa,Cluster Akademika Town House Promo Chas 399 Juta Promo Free Biaya Kanopi Tandon,Rp 399 Juta,"Somba Opu, Gowa",: 84 m²,: 45 m²,2,1,1
